"Goals","Team","Opponent","Year","GroupStage","GDP","MarketValue","FifaRank","UefaPoints","CLPlayers"
0,"Switzerland","Croatia",2004,1,1.67108984201189,-0.137507541004162,22,5000,-1
0,"Croatia","Switzerland",2004,1,-1.67108984201189,0.137507541004162,-22,-5000,1
2,"France","England",2004,1,-0.112027419242805,0.0354228298424846,-10,-13827,0
1,"England","France",2004,1,0.112027419242805,-0.0354228298424846,10,13827,0
3,"England","Switzerland",2004,1,-0.289597508595227,1.60384460979759,-35,39778,4
0,"Switzerland","England",2004,1,0.289597508595227,-1.60384460979759,35,-39778,-4
2,"Croatia","France",2004,1,-1.26946491417386,-1.50175989863591,23,-30951,-3
2,"France","Croatia",2004,1,1.26946491417386,1.50175989863591,-23,30951,3
2,"Croatia","England",2004,1,-1.38149233341666,-1.46633706879343,13,-44778,-3
4,"England","Croatia",2004,1,1.38149233341666,1.46633706879343,-13,44778,3
1,"Switzerland","France",2004,1,0.401624927838032,-1.63926743964007,45,-25951,-4
3,"France","Switzerland",2004,1,-0.401624927838032,1.63926743964007,-45,25951,4
0,"Denmark","Italy",2004,1,0.417294439164865,-1.351608803132,3,-41736,1
0,"Italy","Denmark",2004,1,-0.417294439164865,1.351608803132,-3,41736,-1
5,"Sweden","Bulgaria",2004,1,2.51703600176564,0.630346279320915,-17,-3282,0
0,"Bulgaria","Sweden",2004,1,-2.51703600176564,-0.630346279320915,17,3282,0
0,"Bulgaria","Denmark",2004,1,-2.63456234584382,-0.597402123601561,24,2548,-1
2,"Denmark","Bulgaria",2004,1,2.63456234584382,0.597402123601561,-24,-2548,1
1,"Italy","Sweden",2004,1,-0.29976809508668,1.31866464741265,-10,42470,0
1,"Sweden","Italy",2004,1,0.29976809508668,-1.31866464741265,10,-42470,0
2,"Italy","Bulgaria",2004,1,2.21726790667896,1.94901092673356,-27,39188,0
1,"Bulgaria","Italy",2004,1,-2.21726790667896,-1.94901092673356,27,-39188,0
2,"Denmark","Sweden",2004,1,0.117526344078184,-0.0329441557193539,-7,734,1
2,"Sweden","Denmark",2004,1,-0.117526344078184,0.0329441557193539,7,-734,-1
2,"Czech Republic","Latvia",2004,1,0.588813215316565,1.68451393887446,-42,27077,1
1,"Latvia","Czech Republic",2004,1,-0.588813215316565,-1.68451393887446,42,-27077,-1
1,"Germany","Netherlands",2004,1,-0.125501356654883,-0.326571165638502,5,15408,0
1,"Netherlands","Germany",2004,1,0.125501356654883,0.326571165638502,-5,-15408,0
0,"Latvia","Germany",2004,1,-1.71432772909524,-1.81548703038901,43,-43491,0
0,"Germany","Latvia",2004,1,1.71432772909524,1.81548703038901,-43,43491,0
2,"Netherlands","Czech Republic",2004,1,1.25101587043356,0.457544257153054,-6,1006,-1
3,"Czech Republic","Netherlands",2004,1,-1.25101587043356,-0.457544257153054,6,-1006,1
3,"Netherlands","Latvia",2004,1,1.83982908575012,2.14205819602751,-48,28083,0
0,"Latvia","Netherlands",2004,1,-1.83982908575012,-2.14205819602751,48,-28083,0
1,"Germany","Czech Republic",2004,1,1.12551451377868,0.130973091514553,-1,16414,-1
2,"Czech Republic","Germany",2004,1,-1.12551451377868,-0.130973091514553,1,-16414,1
2,"Portugal","England",2004,0,-0.733747104429098,-0.119888616220736,8,-19820,2
2,"England","Portugal",2004,0,0.733747104429098,0.119888616220736,-8,19820,-2
0,"France","Greece",2004,0,0.467051247884479,1.39016883322745,-32,13578,4
1,"Greece","France",2004,0,-0.467051247884479,-1.39016883322745,32,-13578,-4
0,"Sweden","Netherlands",2004,0,0.0721629531449413,-0.844317232249066,17,-17365,0
0,"Netherlands","Sweden",2004,0,-0.0721629531449413,0.844317232249066,-17,17365,0
3,"Czech Republic","Denmark",2004,0,-1.44070516765668,0.419717130815366,-4,15625,0
0,"Denmark","Czech Republic",2004,0,1.44070516765668,-0.419717130815366,4,-15625,0
2,"Portugal","Netherlands",2004,0,-0.752257918709621,0.0966661122154608,16,8252,6
1,"Netherlands","Portugal",2004,0,0.752257918709621,-0.0966661122154608,-16,-8252,-6
0,"Greece","Czech Republic",2004,0,0.653426389025752,-0.680647017795714,24,1673,-1
0,"Czech Republic","Greece",2004,0,-0.653426389025752,0.680647017795714,-24,-1673,1
0,"Portugal","Greece",2004,0,-0.154668437301813,1.23485738716423,-14,7585,6
1,"Greece","Portugal",2004,0,0.154668437301813,-1.23485738716423,14,-7585,-6
